Course Name,Course Section,Days,Start Time,End Time,Instructor,Instructor Rating,Unit,Is GE 2nd Level Writing?,Is GE Cultures and Ideas?
MATH 2568,27178,MoWeFr,8:00:00 AM,8:55:00 AM,Esteban Vargas Bernal,4.6,3,FALSE,FALSE
MATH 2568,27181,MoWeFr,11:30:00 AM,12:25:00 PM,Liding Yao,1.5,3,FALSE,FALSE
MATH 2568,27182,MoWeFr,12:40:00 PM,1:35:00 PM,Liding Yao,1.5,3,FALSE,FALSE
MATH 2568,27183,MoWeFr,1:50:00 PM,2:45:00 PM,Luis Casian,2.9,3,FALSE,FALSE
MATH 2568,27184,MoWeFr,12:40:00 PM,1:35:00 PM,Arman Darbinyan,1,3,FALSE,FALSE
MATH 2568,27185,MoWeFr,3:00:00 PM,3:55:00 PM,Luis Casian,2.9,3,FALSE,FALSE
STAT 3202,27866,TuTh,9:35:00 AM,10:55:00 AM,Sanjeewani Weerasingha,3.2,4,FALSE,FALSE
STAT 3202,27902,Mo,9:10:00 AM,10:05:00 AM,Alan Gan,NA,0,FALSE,FALSE
STAT 3202,20935,Mo,10:20:00 AM,11:15:00 AM,Alan Gan,NA,0,FALSE,FALSE
STAT 3202,29400,Mo,12:40:00 PM,1:35:00 PM,Alan Gan,NA,0,FALSE,FALSE
STAT 3202,36981,Mo,5:20:00 PM,6:15:00 PM,Fangyi Wang,NA,0,FALSE,FALSE
STAT 3202,27253,TuTh,2:20:00 PM,3:40:00 PM,Steephanson Anthonymuthu,4,4,FALSE,FALSE
STAT 3202,27254,Mo,3:00:00 PM,3:55:00 PM,Fangyi Wang,NA,0,FALSE,FALSE
STAT 3202,27256,Mo,4:10:00 PM,5:05:00 PM,Fangyi Wang,NA,0,FALSE,FALSE
CSE 2421,6973,TuWeThFr,9:10:00 AM,10:05:00 AM,Janis Jones,2.4,4,FALSE,
CSE 2421,7009,MoWe,5:30:00 PM,7:20:00 PM,Mohammad Abu Shattal,1.8,4,FALSE,
CSE 2421,7085,TuTh,5:30:00 PM,7:20:00 PM,Mohammad Abu Shattal,1.8,4,FALSE,
CSE 2421,7239,TuWeThFr,10:20:00 AM,11:15:00 AM,Neil Kirby,4.1,4,FALSE,
CSE 2421,7327,TuWeThFr,12:40:00 PM,1:35:00 PM,Janis Jones,2.4,4,FALSE,
CSE 2421,11915,TuWeThFr,11:30:00 AM,12:25:00 PM,Janis Jones,2.4,4,FALSE,
CSE 2421,12387,MoWe,8:15:00 AM,10:05:00 AM,Aaron Baxter,4.3,4,FALSE,
CSE 2421,36975,TuWeThFr,11:30:00 AM,12:25:00 PM,Neil Kirby,4.1,4,FALSE,
CSE 3430,7104,MoWeFr,2:20:00 PM,3:40:00 PM,George Green,3.8,4,FALSE,FALSE
CSE 3430,7333,MoWeFr,9:35:00 AM,10:55:00 AM,George Green,3.8,4,FALSE,FALSE
,,,,,,,,,
ARTEDUC 2700,17849,MoWe,11:10:00 AM,12:30:00 PM,Xinnian Duan,NA,3,TRUE,FALSE
ARTEDUC 2700,17850,TuTh,11:10:00 AM,12:30:00 PM,Aelim Kim,NA,3,TRUE,FALSE
ARTEDUC 2700,17852,TuTh,9:35:00 AM,10:55:00 AM,Julia Tydings Harth,NA,3,TRUE,FALSE
PHR 2367.01,17021,TuTh,2:20:00 PM,3:40:00 PM,Tanya Elizabeth Bomsta,NA,3,TRUE,FALSE
PHR 2367.01,17168,MoWe,9:35:00 AM,10:55:00 AM,Megan Mefford,5,3,TRUE,FALSE
ENGR 2367,8154,TuTh,3:55:00 PM,5:15:00 PM,Angie Burks,5,3,TRUE,FALSE
ENGR 2367,8158,MoWe,3:55:00 PM,5:15:00 PM,James H Tichgelaar,3.6,3,TRUE,FALSE
ENGR 2367,8159,TuTh,2:20:00 PM,3:40:00 PM,Angie Burks,5,3,TRUE,FALSE
ENGR 2367,8238,TuTh,11:10:00 AM,12:30:00 PM,Angie Burks,5,3,TRUE,FALSE
,,,,,,,,,
SASIA 3625,011,TuTh,2:20:00 PM,3:40:00 PM,Ila Nagar,3.5,3,FALSE,TRUE
CLASS 2201,010,TuTh,11:10:00 AM,12:30:00 PM,William Little,5,3,FALSE,TRUE
ANTHR 1100,0010,MoWeFr,10:20:00 AM,11:15:00 AM,Stephanie Cole,NA,3,FALSE,TRUE
ANTHR 1100,0020,TuTh,2:20:00 PM,3:40:00 PM,Jeffrey Peterson,5,3,FALSE,TRUE
